playerid,name,twit_followers_count,2021-22,followers per dollar
1630587,Isaiah Livers,12020,1057260,0.01136901046100297
1630538,Bones Hyland,23697,2096880,0.011301075884170769
1626172,Kevon Looney,58454,5178572,0.011287667719981492
1630217,Desmond Bane,22937,2033160,0.01128145350095418
203994,Jusuf Nurkic,134382,12000000,0.0111985
1630243,Trevelin Queen,3381,303102,0.011154660807253004
1630225,Isaiah Todd,16723,1500000,0.011148666666666666
202704,Reggie Jackson,114586,10384500,0.011034330011074197
1627749,Dejounte Murray,166055,15428880,0.010762608821897637
1630173,Precious Achiuwa,29150,2711280,0.010751379422265499
1630613,Duane Washington Jr,4938,462629,0.010673779637679437
203493,Reggie Bullock,100471,9536000,0.010535968959731544
1629634,Brandon Clarke,28566,2726880,0.010475708502024292
1630231,Kenyon Martin Jr,15757,1517981,0.010380235325738596
1630551,Justin Champagnie,4799,462629,0.010373322900207293
1628408,PJ Dozier,19806,1910860,0.01036496655955957
1629676,Isaiah Roby,18380,1782621,0.010310660538611405
1628368,DeAaron Fox,285469,28103500,0.010157773942747344
1629028,Deandre Ayton,127731,12632950,0.010110940041716305
1626179,Terry Rozier,180365,17905263,0.010073295209347107
201949,James Johnson,26405,2641691,0.00999549152417902
203926,Doug McDermott,137105,13750000,0.009971272727272728
1629619,Myles Powell,2987,300443,0.009941985667830503
1628778,Paul Watson,4592,462629,0.009925880132892664
202694,Marcus Morris Sr,154314,15627907,0.00987425891387759
1628432,Davon Reed,5210,532398,0.009785912043245842
1630209,Omer Yurtseven,14467,1489065,0.009715492607777364
1629013,Landry Shamet,35859,3768342,0.009515856044913121
1630162,Anthony Edwards,97438,10245480,0.009510340169518657
1627832,Fred VanVleet,183342,19675926,0.009318087494331906
1630625,Dalano Banton,8605,925258,0.009300108726430898
1627846,Abdel Nader,18530,2000000,0.009265
1628989,Kevin Huerter,39322,4253357,0.009244932884777835
1629731,Dean Wade,16352,1782621,0.009173009854590516
1630219,Skylar Mays,4147,462629,0.008963986261129328
1627750,Jamal Murray,264048,29467800,0.008960560340439395
203486,Mason Plumlee,82723,9248333,0.00894463899602231
203503,Tony Snell,21332,2389641,0.008926863909683504
1629681,Killian Tillie,9318,1052534,0.008852920665745714
1629647,Darius Bazley,21849,2513040,0.008694250787890365
1629659,Talen Horton-Tucker,81811,9500000,0.008611684210526317
1630586,Usman Garuba,20089,2353320,0.008536450631448337
1630552,Jalen Johnson,22704,2659680,0.008536365277025807
1630167,Obi Toppin,42579,5105160,0.00834038502221282
1629660,Ty Jerome,19866,2412840,0.008233451036952305
203484,Kentavious Caldwell-Pope,106788,13038862,0.008189978542605942
203496,Robert Covington,106053,12975471,0.008173344921351989
1630182,Josh Green,24160,2957520,0.008169006464875977
1630233,Nathan Knight,3779,462629,0.008168532452569986
1628963,Marvin Bagley III,92338,11312114,0.008162753663904024
1630541,Moses Moody,28930,3562200,0.008121385660546853
1629014,Anfernee Simons,31570,3938818,0.008015094883795088
1628969,Mikal Bridges,44320,5557725,0.007974485963231357
1630581,Josh Giddey,47257,5988000,0.00789195056780227
1629012,Collin Sexton,50007,6349671,0.007875526149307577
1630595,Cade Cunningham,78911,10050120,0.007851747043816392
1629052,Oshae Brissett,13286,1701593,0.007807977583358653
1630529,Herbert Jones,13169,1700000,0.007746470588235294
1628976,Wendell Carter Jr,53150,6920027,0.007680605870468425
1629134,Kendrick Nunn,38294,5000000,0.0076588
1629718,Charlie Brown Jr,3248,431151,0.00753332359196662
1628389,Bam Adebayo,206216,28103500,0.007337733734232391
1630612,RJ Nembhard Jr,3369,462629,0.007282293154990284
204456,TJ McConnell,54464,7500000,0.007261866666666667
1629651,Nic Claxton,12921,1782621,0.0072483158226005415
1628379,Luke Kennard,91035,12727273,0.007152749846726789
1628402,Frank Jackson,21227,3000000,0.007075666666666667
1629685,Dylan Windler,15697,2239200,0.00701009289031797
1628975,Jevon Carter,25554,3650000,0.007001095890410959
1630186,Jahmius Ramsey,10574,1517981,0.006965831588142408
1630227,Daishen Nix,3215,462629,0.006949413028582298
202699,Tobias Harris,245733,35995950,0.006826684668691895
1630195,Leandro Bolmaro,16053,2353320,0.006821426750293203
1630190,Elijah Hughes,10292,1517981,0.006780058511931308
1630591,Jalen Suggs,44669,6592920,0.00677529835035159
1629635,Sekou Doumbouya,26375,3908141,0.006748732965366398
1628374,Lauri Markkanen,105890,15690909,0.0067484936659820026
1626196,Josh Richardson,78310,11615328,0.00674195339124302
1630531,Jaden Springer,13601,2023680,0.006720924256799494
202696,Nikola Vucevic,160385,24000000,0.006682708333333333
1630164,James Wiseman,60813,9166800,0.006634048959287865
1629636,Darius Garland,46421,7040880,0.00659306791196555
203915,Spencer Dinwiddie,112939,17142857,0.006588108388234237
203482,Kelly Olynyk,79079,12195122,0.006484477974062088
1627823,Juancho Hernangomez,44786,6907815,0.0064833815034131635
1629717,Armoni Brooks,9638,1489065,0.0064725179894766175
1628966,Keita Bates-Diop,11094,1729217,0.006415620480252045
1628371,Jonathan Isaac,109930,17400000,0.006317816091954023
1629006,Josh Okogie,25729,4087904,0.006293934495526314
1630174,Aaron Nesmith,22849,3631200,0.006292410222515973
1628464,Daniel Theis,51870,8280351,0.006264227204861243
1626167,Myles Turner,111832,18000000,0.006212888888888889
1630201,Malachi Flynn,12638,2048040,0.006170777914493858
1630543,Isaiah Jackson,14924,2451240,0.006088347122272809
1627741,Buddy Hield,136671,23073234,0.005923356907835286
1629002,Chimezie Metu,10436,1762796,0.0059201405040628634
201950,Jrue Holiday,186729,32431333,0.005757672680305801
202692,Alec Burks,54702,9536000,0.00573636744966443
1630567,Scottie Barnes,41122,7280400,0.005648316026591945
1629726,Garrison Mathews,7030,1247809,0.005633875056198505
1630191,Isaiah Stewart,18108,3277080,0.005525650884323849
1626166,Cameron Payne,35871,6500000,0.005518615384615385
1626220,Royce ONeale,48090,8800000,0.005464772727272727
203937,Kyle Anderson,54278,9937150,0.005462129483805719
202066,Garrett Temple,26406,4910000,0.005378004073319755
1629633,Jarrett Culver,34068,6395160,0.0053271536599553415
1630179,Tyrell Terry,9858,1869438,0.005273242546690503
1630560,Cam Thomas,10724,2036280,0.005266466301294517
1630228,Jonathan Kuminga,28783,5466360,0.005265478307319679
1630544,Tre Mann,15229,2901240,0.00524913485268368
1629646,Charles Bassey,4792,925258,0.005179095992685284
1628964,Mo Bamba,38602,7568743,0.005100186384978325
1629067,Isaac Bonga,8725,1729217,0.005045636261961339
1629216,Gabe Vincent,8415,1669178,0.005041403613035877
1630171,Isaac Okoro,33586,6720720,0.004997381232963135
203991,Clint Capela,92303,18603448,0.004961607117132265
203200,Justin Holiday,29535,6006420,0.0049172385547464215
1629018,Gary Trent Jr,78144,16000000,0.004884
1630168,Onyeka Okongwu,29727,6104280,0.004869861801883269
1629833,Keljin Blevins,2243,462629,0.004848377425539687
1630183,Jaden McDaniels,9913,2063280,0.004804486061029041
1626181,Norman Powell,73516,15517242,0.004737697588269875
1630218,Robert Woodard II,7177,1517981,0.0047279906665498445
1629643,Chuma Okeke,15218,3277080,0.00464376823269496
201152,Thaddeus Young,65515,14190000,0.004616983791402396
1627854,Bryn Forbes,20775,4500000,0.0046166666666666665
1628972,Troy Brown Jr,23443,5170564,0.004533934789318922
203087,Jeremy Lamb,47197,10500000,0.004494952380952381
1629669,Jaylen Nowell,8008,1782621,0.004492261675364533
203458,Alex Len,16714,3732000,0.004478563772775991
1630556,Kessler Edwards,2050,462629,0.004431196487898511
1630533,Ziaire Williams,19311,4373040,0.004415921189835904
1628380,Zach Collins,30776,7000000,0.0043965714285714285
1630558,Davion Mitchell,19977,4603200,0.0043398070907195
1627774,Jake Layman,17049,3940184,0.004326955289397653
1627783,Pascal Siakam,142233,33003936,0.004309576894101358
1629056,Terence Davis,17058,4000000,0.0042645
1630205,Lamar Stevens,6375,1517981,0.00419965730796367
1629638,Nickeil Alexander-Walker,13645,3261480,0.004183683481119001
1630678,Terry Taylor,1405,342984,0.004096400998297296
203585,Rodney McGruder,7943,1939350,0.0040957021682522495
1630596,Evan Mobley,33008,8075160,0.004087597025941281
203933,TJ Warren,52677,12940000,0.004070865533230294
1628962,Udoka Azubuike,8289,2075880,0.0039930053760332965
1629675,Naz Reid,7055,1782621,0.003957655609352745
1627863,Danuel House Jr,17089,4339828,0.003937713660541385
1630537,Chris Duarte,14745,3749400,0.003932629220675308
1628449,Chris Boucher,27595,7020000,0.003930911680911681
1629604,CJ Elleby,5933,1517981,0.003908481067944856
1630526,Jeremiah Robinson-Earl,7790,2000000,0.003895
1626153,Delon Wright,33209,8526316,0.0038948826198794413
1626174,Christian Wood,52377,13666667,0.003832463321159431
203967,Dario Saric,32588,8510000,0.0038293772032902467
1627827,Dorian Finney-Smith,15096,4000000,0.003774
1629083,Arnoldas Kulboka,1740,462629,0.00376111311655776
1630553,Keon Johnson,9601,2553240,0.0037603202205824756
