playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Guaranteed
1627732,Ben Simmons,https://twitter.com/BenSimmons25,BenSimmons25,https://instagram.com/bensimmons,bensimmons,1063034450,1026080,566,31590000.0,33930000.0,36270000.0,38610000.0,0.0,0.0,140400000.0
1627788,Furkan Korkmaz,https://twitter.com/FurkanKorkmaz,FurkanKorkmaz,https://instagram.com/furkankorkmaz,furkankorkmaz,851651556,101875,1138,4629630.0,5000000.0,5370370.0,0.0,0.0,0.0,15000000.0
203552,Seth Curry,https://twitter.com/sdotcurry,sdotcurry,https://instagram.com/sdotcurry,sdotcurry,39676694,339693,5766,8186047.0,8558140.0,0.0,0.0,0.0,0.0,16744187.0
1630194,Paul Reed,https://twitter.com/Bball_paul,Bball_paul,https://instagram.com/bball_paul,bball_paul,480386538,20610,6551,1517981.0,1782621.0,0.0,0.0,0.0,0.0,0.0
1629001,De'Anthony Melton,https://twitter.com/DeAnthonyMelton,DeAnthonyMelton,https://instagram.com/deanthonymelton,deanthonymelton,1164534054,10633,5277,8437500.0,9062500.0,9687500.0,0.0,0.0,0.0,27187500.0
203937,Kyle Anderson,https://twitter.com/KyleAnderson5,KyleAnderson5,https://instagram.com/teamslowmo,teamslowmo,86651903,54278,56899,9937150.0,0.0,0.0,0.0,0.0,0.0,9937150.0
1630214,Xavier Tillman,https://twitter.com/Rookiedunker,Rookiedunker,https://instagram.com/xavier_tillman23,xavier_tillman23,1562059801,21371,2551,53176.0,,,,,,
1630179,Tyrell Terry,https://twitter.com/tyterry05,tyterry05,https://instagram.com/tyterry_,tyterry_,2922422651,9858,424,3035962.0,3565242.0,0.0,0.0,0.0,0.0,3386180.0
203500,Steven Adams,https://twitter.com/RealStevenAdams,RealStevenAdams,https://instagram.com/stevenadams,stevenadams,1253284927,214597,1644,17073171.0,17926829.0,0.0,0.0,0.0,0.0,35000000.0
1630582,Yves Pons,https://twitter.com/Airpons,Airpons,https://instagram.com/yves_airpons,yves_airpons,793894676,12488,82,53176.0,,,,,,
1630583,Santi Aldama,https://twitter.com/santialdama,santialdama,https://instagram.com/santialdama,santialdama,2210523525,5638,308,1994520.0,2094240.0,2194200.0,3960531.0,0.0,0.0,4088760.0
1630533,Ziaire Williams,https://twitter.com/therealZiaire,therealZiaire,https://instagram.com/ziaire,ziaire,716418252277059585,19311,471,4373160.0,4591920.0,4810200.0,6133005.0,0.0,0.0,8965080.0
1629630,Ja Morant,https://twitter.com/JaMorant,JaMorant,https://instagram.com/jamorant,jamorant,3165563219,1537673,10426,9603360.0,12119440.0,0.0,0.0,0.0,0.0,21722800.0
1628991,Jaren Jackson Jr.,https://twitter.com/jarenjacksonjr,jarenjacksonjr,https://www.instagram.com/jaren,jaren,753792894486675457,163581,1947,9180560.0,23437500.0,25312500.0,27187500.0,29062500.0,0.0,114180560.0
1629634,Brandon Clarke,https://twitter.com/brandonclarke23,brandonclarke23,https://instagram.com/brandon_clarke23,brandon_clarke23,381841868,28566,761,2726880.0,4343920.0,0.0,0.0,0.0,0.0,7070800.0
1626145,Tyus Jones,https://twitter.com/1Tyus,1Tyus,https://instagram.com/1tyus,1tyus,393722870,157482,8515,7522200.0,0.0,0.0,0.0,0.0,0.0,7522200.0
