playerid,name,br_url
1630173,Precious Achiuwa,https://www.basketball-reference.com/players/a/achiupr01.html
1630551,Justin Champagnie,https://www.basketball-reference.com/players/c/champju01.html
1630525,David Johnson,https://www.basketball-reference.com/players/j/johnsda08.html
1629004,Svi Mykhailiuk,https://www.basketball-reference.com/players/m/mykhasv01.html
1629067,Isaac Bonga,https://www.basketball-reference.com/players/b/bongais01.html
1629139,Yuta Watanabe,https://www.basketball-reference.com/players/w/watanyu01.html
1630201,Malachi Flynn,https://www.basketball-reference.com/players/f/flynnma01.html
1627832,Fred VanVleet,https://www.basketball-reference.com/players/v/vanvlfr01.html
203920,Khem Birch,https://www.basketball-reference.com/players/b/birchkh01.html
1628449,Chris Boucher,https://www.basketball-reference.com/players/b/bouchch01.html
1629018,Gary Trent Jr.,https://www.basketball-reference.com/players/t/trentga02.html
1627783,Pascal Siakam,https://www.basketball-reference.com/players/s/siakapa01.html
1630625,Dalano Banton,https://www.basketball-reference.com/players/b/bantoda01.html
201566,Russell Westbrook,https://www.basketball-reference.com/players/w/westbru01.html
2772,Trevor Ariza,https://www.basketball-reference.com/players/a/arizatr01.html
201961,Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html
203076,Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html
1629659,Talen Horton-Tucker,https://www.basketball-reference.com/players/h/hortota01.html
2544,LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html
2546,Carmelo Anthony,https://www.basketball-reference.com/players/a/anthoca01.html
203145,Kent Bazemore,https://www.basketball-reference.com/players/b/bazemke01.html
201599,DeAndre Jordan,https://www.basketball-reference.com/players/j/jordade01.html
1628370,Malik Monk,https://www.basketball-reference.com/players/m/monkma01.html
1629134,Kendrick Nunn,https://www.basketball-reference.com/players/n/nunnke01.html
1626169,Stanley Johnson,https://www.basketball-reference.com/players/j/johnsst04.html
1630559,Austin Reaves,https://www.basketball-reference.com/players/r/reaveau01.html
202340,Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html
2730,Dwight Howard,https://www.basketball-reference.com/players/h/howardw01.html
1630222,Mason Jones,https://www.basketball-reference.com/players/j/jonesma05.html
1629635,Sekou Doumbouya,https://www.basketball-reference.com/players/d/doumbse01.html
1628369,Jayson Tatum,https://www.basketball-reference.com/players/t/tatumja01.html
1628408,P.J. Dozier,https://www.basketball-reference.com/players/d/doziepj01.html
1627759,Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html
1626196,Josh Richardson,https://www.basketball-reference.com/players/r/richajo01.html
1629641,Romeo Langford,https://www.basketball-reference.com/players/l/langfro01.html
1629626,Bol Bol,https://www.basketball-reference.com/players/b/bolbo01.html
1630202,Payton Pritchard,https://www.basketball-reference.com/players/p/pritcpa01.html
1629684,Grant Williams,https://www.basketball-reference.com/players/w/willigr01.html
202683,Enes Freedom,https://www.basketball-reference.com/players/k/kanteen01.html
1630174,Aaron Nesmith,https://www.basketball-reference.com/players/n/nesmiaa01.html
1628981,Bruno Fernando,https://www.basketball-reference.com/players/f/fernabr01.html
1630573,Sam Hauser,https://www.basketball-reference.com/players/h/hausesa01.html
203935,Marcus Smart,https://www.basketball-reference.com/players/s/smartma01.html
201143,Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html
1629057,Robert Williams III,https://www.basketball-reference.com/players/w/williro04.html
203471,Dennis Schroder,https://www.basketball-reference.com/players/s/schrode01.html
1630271,Brodric Thomas,https://www.basketball-reference.com/players/t/thomabr01.html
203081,Damian Lillard,https://www.basketball-reference.com/players/l/lillada01.html
1629014,Anfernee Simons,https://www.basketball-reference.com/players/s/simonan01.html
1630570,Trendon Watford,https://www.basketball-reference.com/players/w/watfotr01.html
203468,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html
1630535,Greg Brown III,https://www.basketball-reference.com/players/b/browngr01.html
1629642,Nassir Little,https://www.basketball-reference.com/players/l/littlna01.html
1628372,Dennis Smith Jr.,https://www.basketball-reference.com/players/s/smithde03.html
1626204,Larry Nance Jr.,https://www.basketball-reference.com/players/n/nancela02.html
1629604,CJ Elleby,https://www.basketball-reference.com/players/e/ellebcj01.html
203503,Tony Snell,https://www.basketball-reference.com/players/s/snellto01.html
1629833,Keljin Blevins,https://www.basketball-reference.com/players/b/blevike01.html
203463,Ben McLemore,https://www.basketball-reference.com/players/m/mclembe01.html
1626181,Norman Powell,https://www.basketball-reference.com/players/p/powelno01.html
203994,Jusuf Nurkic,https://www.basketball-reference.com/players/n/nurkiju01.html
203496,Robert Covington,https://www.basketball-reference.com/players/c/covinro01.html
203469,Cody Zeller,https://www.basketball-reference.com/players/z/zelleco01.html
1626153,Delon Wright,https://www.basketball-reference.com/players/w/wrighde01.html
1630552,Jalen Johnson,https://www.basketball-reference.com/players/j/johnsja05.html
1630536,Sharife Cooper,https://www.basketball-reference.com/players/c/coopesh01.html
1628989,Kevin Huerter,https://www.basketball-reference.com/players/h/huertke01.html
1630219,Skylar Mays,https://www.basketball-reference.com/players/m/mayssk01.html
101150,Lou Williams,https://www.basketball-reference.com/players/w/willilo02.html
1627789,Timothe Luwawu-Cabarrot,https://www.basketball-reference.com/players/l/luwawti01.html
