playerid,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
202709,1469384191,184108,732,141,0,0,0.0,0.0
1628367,304641335,259133,1453,103,25193,567,1648.1401869158879,37.09345794392523
1630691,1116373918,5140,460,4,1122,84,436.3333333333333,32.666666666666664
1630191,1558943999,119610,856,43,40863,333,5200.745454545455,42.38181818181818
1630240,399319207,14821,755,34,8658,0,841.7499999999999,0.0
1630180,4265651843,40404,490,9,13285,237,2113.5227272727275,37.70454545454545
1630568,264624623,111821,804,117,51897,489,5859.338709677419,55.20967741935483
1628371,1943538898,273464,598,136,119700,4661,7548.648648648648,293.93693693693695
1629643,1427625768,34992,1048,69,10836,228,960.1518987341772,20.202531645569618
1630591,297796284,555508,1233,113,404812,1709,37285.31578947368,157.4078947368421
1628964,1174639423,734016,624,200,125658,1048,7391.64705882353,61.64705882352941
203487,11167478,354954,1167,416,19871,479,1168.8823529411766,28.176470588235293
1630181,13863527733,1914,9,8,0,0,0.0,0.0
203914,16532921,164137,412,2,6200,227,803.7037037037037,29.425925925925924
1629649,990800456,59753,639,42,13422,182,999.5106382978723,13.553191489361701
1628365,238092542,5253526,0,3,0,0,0.0,0.0
1629021,48912933,174538,1137,73,25893,459,3179.842105263158,56.36842105263158
1630532,255753716,75940,517,6,27932,586,1862.1333333333334,39.06666666666667
1629678,174200079,79098,3014,120,28469,171,2120.031914893617,12.73404255319149
203082,594752713,373379,978,28,11456,295,1743.304347826087,44.891304347826086
201577,54963128,164232,1016,623,28618,325,1837.8532110091744,20.871559633027523
1628976,204220626,157072,668,37,18988,413,1370.2680412371133,29.804123711340203
1630175,232829616,715641,917,86,419936,3399,26723.2,216.3
202734,3713143232,41500,1998,308,2305,64,215.13333333333335,5.973333333333334
1630224,1983878900,1971148,78,75,2702941,13124,173583.36697247706,842.8256880733945
202322,6405615,4358199,2028,214,626737,7833,118571.86486486487,1481.918918918919
1628021,652812301,51508,436,83,9575,330,644.4711538461538,22.21153846153846
1629645,257394309,542173,289,55,503684,3727,51849.82352941177,383.6617647058824
1630231,192689994,183949,492,68,59887,846,3992.4666666666667,56.4
1629717,288905775,31776,760,21,5934,218,532.5384615384615,19.564102564102566
1630256,31222023,72643,636,33,36775,660,2238.4782608695655,40.173913043478265
1630528,1580791416,880822,327,394,739963,2960,87792.22033898305,351.1864406779661
201569,1512210705,265378,1793,335,51396,672,3048.915254237288,39.86440677966102
201571,9040829489,59638,871,191,11504,269,1019.3417721518987,23.83544303797468
1630227,8187929054,64877,484,87,42391,438,3904.4342105263154,40.34210526315789
1630586,1172715075,48098,686,66,47525,169,4377.3026315789475,15.56578947368421
1630243,190426776,12387,735,53,12046,379,1081.051282051282,34.01282051282051
1629726,55909104,15115,1389,28,15790,84,1435.4545454545455,7.636363636363637
1628464,2251971129,148509,207,697,65789,1665,3902.737288135593,98.77118644067797
1630578,2048572049,176189,198,40,487645,4295,29682.739130434784,261.4347826086957
1626174,39887738,197406,106,51,63513,470,5421.841463414635,40.1219512195122
