playerid,twit_id,twit_data
203497,609548724,<generator object Paginator.flatten at 0x7ff3b66edcf0>
1630190,2214794818,<generator object Paginator.flatten at 0x7ff3b66edd60>
202711,1242198056,<generator object Paginator.flatten at 0x7ff3b66eddd0>
1628378,488026266,<generator object Paginator.flatten at 0x7ff3b66ede40>
1628425,334148848,<generator object Paginator.flatten at 0x7ff3b66edeb0>
203504,334150573,<generator object Paginator.flatten at 0x7ff3b66edf20>
204001,222932212,<generator object Paginator.flatten at 0x7ff3b66edf90>
203939,2445047678,<generator object Paginator.flatten at 0x7ff3b66f9040>
1630182,3255273577,<generator object Paginator.flatten at 0x7ff3b66f90b0>
1629650,1032124585880248320,<generator object Paginator.flatten at 0x7ff3b66f9120>
1627827,3613501949,<generator object Paginator.flatten at 0x7ff3b66f9190>
203501,1042558487429967872,<generator object Paginator.flatten at 0x7ff3b66f9200>
1628973,1463892300,<generator object Paginator.flatten at 0x7ff3b66f9270>
1628373,772164285388709888,<generator object Paginator.flatten at 0x7ff3b66f92e0>
1629033,257492235,<generator object Paginator.flatten at 0x7ff3b66f9350>
203493,91225009,<generator object Paginator.flatten at 0x7ff3b66f93c0>
1627737,1039001280,<generator object Paginator.flatten at 0x7ff3b66f9430>
1628467,888161623155896321,<generator object Paginator.flatten at 0x7ff3b66f94a0>
1626246,1031967637561954304,<generator object Paginator.flatten at 0x7ff3b66f9510>
1629029,460116210,<generator object Paginator.flatten at 0x7ff3b66f9580>
1628978,1248694675453681665,<generator object Paginator.flatten at 0x7ff3b66f95f0>
201588,87080278,<generator object Paginator.flatten at 0x7ff3b66f9660>
203918,4837832648,<generator object Paginator.flatten at 0x7ff3b66f96d0>
1628960,608751926,<generator object Paginator.flatten at 0x7ff3b66f9740>
1626171,294380360,<generator object Paginator.flatten at 0x7ff3b66f97b0>
201572,626498180,<generator object Paginator.flatten at 0x7ff3b66f9820>
1629670,585978299,<generator object Paginator.flatten at 0x7ff3b66f9890>
201950,309516587,<generator object Paginator.flatten at 0x7ff3b66f9900>
203114,58667088,<generator object Paginator.flatten at 0x7ff3b66f9970>
202083,232049361,<generator object Paginator.flatten at 0x7ff3b66f99e0>
1626192,347265384,<generator object Paginator.flatten at 0x7ff3b66f9a50>
1629623,371045117,<generator object Paginator.flatten at 0x7ff3b66f9ac0>
203507,2279776304,<generator object Paginator.flatten at 0x7ff3b66f9b30>
1628400,137583689,<generator object Paginator.flatten at 0x7ff3b66f9ba0>
203648,334629775,<generator object Paginator.flatten at 0x7ff3b66f9c10>
1630572,3080415491,<generator object Paginator.flatten at 0x7ff3b66f9c80>
1630210,515871694,<generator object Paginator.flatten at 0x7ff3b66f9cf0>
203210,171774400,<generator object Paginator.flatten at 0x7ff3b66f9d60>
1629008,0,
1630538,2276214167,<generator object Paginator.flatten at 0x7ff3b66f9dd0>
202326,132752344,<generator object Paginator.flatten at 0x7ff3b66f9e40>
203115,529603839,<generator object Paginator.flatten at 0x7ff3b66f9eb0>
1630267,351118737,<generator object Paginator.flatten at 0x7ff3b66f9f20>
1627854,510401871,<generator object Paginator.flatten at 0x7ff3b66f9f90>
1628432,369682039,<generator object Paginator.flatten at 0x7ff3b6703040>
1628420,1108090623884705794,<generator object Paginator.flatten at 0x7ff3b67030b0>
203999,1283904777492017160,<generator object Paginator.flatten at 0x7ff3b6703120>
1630192,725874444674187264,<generator object Paginator.flatten at 0x7ff3b6703190>
203085,156521166,<generator object Paginator.flatten at 0x7ff3b6703200>
1627750,3184000707,<generator object Paginator.flatten at 0x7ff3b6703270>
1628427,975483243972751363,<generator object Paginator.flatten at 0x7ff3b67032e0>
201145,363365354,<generator object Paginator.flatten at 0x7ff3b6703350>
203932,614024492,<generator object Paginator.flatten at 0x7ff3b67033c0>
1628975,1011647002776670209,<generator object Paginator.flatten at 0x7ff3b6703430>
1628971,362258536,<generator object Paginator.flatten at 0x7ff3b67034a0>
201933,34430522,<generator object Paginator.flatten at 0x7ff3b6703510>
1630561,1431604940,<generator object Paginator.flatten at 0x7ff3b6703580>
201142,35936474,<generator object Paginator.flatten at 0x7ff3b67035f0>
201988,48176112,<generator object Paginator.flatten at 0x7ff3b6703660>
202681,317370751,<generator object Paginator.flatten at 0x7ff3b67036d0>
203925,0,
201935,50811932,<generator object Paginator.flatten at 0x7ff3b6703740>
1630556,718577268,<generator object Paginator.flatten at 0x7ff3b67037b0>
201949,3033470114,<generator object Paginator.flatten at 0x7ff3b6703820>
1630549,3355932731,<generator object Paginator.flatten at 0x7ff3b6703890>
200746,248829112,<generator object Paginator.flatten at 0x7ff3b6703900>
1630560,3135356688,<generator object Paginator.flatten at 0x7ff3b6703970>
200794,1009296320,<generator object Paginator.flatten at 0x7ff3b67039e0>
1629651,2287613209,<generator object Paginator.flatten at 0x7ff3b6703a50>
1627761,0,
1630206,758169362964643840,<generator object Paginator.flatten at 0x7ff3b6703ac0>
