playerid,name,twit_url,twit_handle,insta_url,insta_handle
1629611,Terance Mann,https://twitter.com/terance_mann,terance_mann,https://instagram.com/terance,terance
1630554,Jason Preston,https://twitter.com/Treballjay11,Treballjay11,https://instagram.com/jasonpreston0,jasonpreston0
1626159,Justise Winslow,https://twitter.com/IAmJustise,IAmJustise,https://instagram.com/iamjustise,iamjustise
201587,Nicolas Batum,https://twitter.com/nicolas88batum,nicolas88batum,https://instagram.com/nicbatum88,nicbatum88
1627826,Ivica Zubac,https://twitter.com/ivicazubac,ivicazubac,https://instagram.com/ivicazubac,ivicazubac
1630553,Keon Johnson,https://twitter.com/iamkeonjohnson,iamkeonjohnson,https://instagram.com/iamkeonjohnson,iamkeonjohnson
1628392,Isaiah Hartenstein,https://twitter.com/Ipjh55,Ipjh55,https://instagram.com/ipjh55,ipjh55
1628970,Miles Bridges,https://twitter.com/MilesBridges,MilesBridges,https://instagram.com/milesbridges,milesbridges
1630163,LaMelo Ball,https://twitter.com/MELOD1P,MELOD1P,https://instagram.com/melo,melo
1626179,Terry Rozier,https://twitter.com/T_Rozzay3,T_Rozzay3,,
1630547,James Bouknight,https://twitter.com/jam3s210,jam3s210,https://instagram.com/james.bouknight,james.bouknight
1629667,Jalen McDaniels,https://twitter.com/jalenmcdaniels5,jalenmcdaniels5,https://instagram.com/jalenmcdaniels,jalenmcdaniels
202397,Ish Smith,https://twitter.com/IshSmith,IshSmith,https://instagram.com/ishsmith5,ishsmith5
1628998,Cody Martin,https://twitter.com/cody_martin15,cody_martin15,https://instagram.com/cody_martin15,cody_martin15
1626162,Kelly Oubre Jr.,https://twitter.com/KELLYOUBREJR,KELLYOUBREJR,https://instagram.com/kellyoubrejr,kellyoubrejr
1630208,Nick Richards,https://twitter.com/iamnickrichards,iamnickrichards,https://instagram.com/nickrichards_,nickrichards_
1630575,Scottie Lewis,https://twitter.com/Scottie23L,Scottie23L,https://instagram.com/scottie.23,scottie.23
202330,Gordon Hayward,https://twitter.com/gordonhayward,gordonhayward,https://instagram.com/gordonhayward,gordonhayward
1630550,JT Thor,https://twitter.com/thorrjt,thorrjt,https://instagram.com/jt.bandz,jt.bandz
1630176,Vernon Carey Jr.,https://twitter.com/vernoncarey22,vernoncarey22,https://instagram.com/vernon,vernon
1630539,Kai Jones,https://twitter.com/242_jones,242_jones,https://instagram.com/kaijones242,kaijones242
203486,Mason Plumlee,https://twitter.com/masonplumlee,masonplumlee,https://instagram.com/masonplumlee,masonplumlee
1629023,P.J. Washington,https://twitter.com/PJWashington,PJWashington,https://instagram.com/pj_washington,pj_washington
1629083,Arnoldas Kulboka,https://twitter.com/kulboka98,kulboka98,https://instagram.com/kulboka8,kulboka8
1626156,D'Angelo Russell,https://twitter.com/Dloading,Dloading,https://instagram.com/dloading,dloading
1630162,Anthony Edwards,https://twitter.com/theantedwards_,theantedwards_,https://instagram.com/theanthonyedwards_,theanthonyedwards_
1630183,Jaden McDaniels,https://twitter.com/Jmcdaniels7,Jmcdaniels7,https://instagram.com/therealjadenmcdaniels,therealjadenmcdaniels
1629669,Jaylen Nowell,https://twitter.com/JaylenNowell,JaylenNowell,https://instagram.com/jaylennowell,jaylennowell
