playerid,name,twit_followers_count,2021-22,followers per dollar,br_name,br_url
1630540,Miles McBride,21589,925258,0.0233329514578636,Miles McBride,https://www.basketball-reference.com/players/m/mcbrimi01.html
1629023,PJ Washington,96357,4215120,0.0228598474064795,P.J. Washington,https://www.basketball-reference.com/players/w/washipj01.html
1629628,RJ Barrett,197038,8623920,0.0228478464549763,RJ Barrett,https://www.basketball-reference.com/players/b/barrerj01.html
202334,Ed Davis,59773,2641691,0.0226267947311021,Ed Davis,https://www.basketball-reference.com/players/d/davised01.html
1629719,Devontae Cacok,10255,462629,0.0221667902358045,Devontae Cacok,https://www.basketball-reference.com/players/c/cacokde01.html
202710,Jimmy Butler,795925,36016200,0.0220990831903421,Jimmy Butler,https://www.basketball-reference.com/players/b/butleji01.html
1627788,Furkan Korkmaz,101875,4629630,0.0220049982396001,Furkan Korkmaz,https://www.basketball-reference.com/players/k/korkmfu01.html
202330,Gordon Hayward,657341,29925000,0.0219662823725981,Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html
203944,Julius Randle,476792,21780000,0.0218912764003673,Julius Randle,https://www.basketball-reference.com/players/r/randlju01.html
1628983,Shai Gilgeous-Alexander,119944,5495532,0.0218257304297381,Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html
1629735,Chris Silva,10457,479650,0.0218013134577295,Chris Silva,https://www.basketball-reference.com/players/s/silvach01.html
1627814,Damion Lee,40567,1910860,0.0212297080895513,Damion Lee,https://www.basketball-reference.com/players/l/leeda03.html
203918,Rodney Hood,47341,2239544,0.0211386782309255,Rodney Hood,https://www.basketball-reference.com/players/h/hoodro01.html
1629599,Amir Coffey,9774,462629,0.0211270802305951,Amir Coffey,https://www.basketball-reference.com/players/c/coffeam01.html
1626156,DAngelo Russell,629857,30013500,0.0209857897279557,D'Angelo Russell,https://www.basketball-reference.com/players/r/russeda01.html
1629744,Matt Thomas,34934,1669178,0.0209288643871414,Matt Thomas,https://www.basketball-reference.com/players/t/thomama02.html
1630525,David Johnson,9476,462629,0.020482935570403,David Johnson,https://www.basketball-reference.com/players/j/johnsda08.html
1626157,Karl-Anthony Towns,647106,31650600,0.0204452996151731,Karl-Anthony Towns,https://www.basketball-reference.com/players/t/townska01.html
202357,Nemanja Bjelica,42663,2089448,0.0204183114391935,Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html
203109,Jae Crowder,197431,9720900,0.0203099507247271,Jae Crowder,https://www.basketball-reference.com/players/c/crowdja01.html
1630202,Payton Pritchard,43151,2137440,0.0201881690246275,Payton Pritchard,https://www.basketball-reference.com/players/p/pritcpa01.html
1629670,Jordan Nwora,30465,1517981,0.0200694211587628,Jordan Nwora,https://www.basketball-reference.com/players/n/nworajo01.html
1630593,McKinley Wright IV,9246,462629,0.0199857769400534,McKinley Wright IV,https://www.basketball-reference.com/players/w/wrighmc01.html
203078,Bradley Beal,669627,33724200,0.019855978792677,Bradley Beal,https://www.basketball-reference.com/players/b/bealbr01.html
201961,Wayne Ellington,51454,2641691,0.0194776754737779,Wayne Ellington,https://www.basketball-reference.com/players/e/ellinwa01.html
1628400,Semi Ojeleye,34436,1789256,0.0192459882766915,Semi Ojeleye,https://www.basketball-reference.com/players/o/ojelese01.html
201609,Goran Dragic,373217,19440000,0.0191984053497942,Goran Dragic,https://www.basketball-reference.com/players/d/dragigo01.html
1630224,Jalen Green,170837,8992080,0.0189986076636328,Jalen Green,https://www.basketball-reference.com/players/g/greenja05.html
201976,Patrick Beverley,271487,14320987,0.0189572827627034,Patrick Beverley,https://www.basketball-reference.com/players/b/beverpa01.html
1630555,Joel Ayayi,8713,462629,0.0188336658531998,Joel Ayayi,https://www.basketball-reference.com/players/a/ayayijo01.html
1626145,Tyus Jones,157482,8376286,0.0188009339700196,Tyus Jones,https://www.basketball-reference.com/players/j/jonesty01.html
1630573,Sam Hauser,8640,462629,0.0186758720270454,Sam Hauser,https://www.basketball-reference.com/players/h/hausesa01.html
1630698,Kevin Pangos,31107,1669178,0.0186361190957465,Kevin Pangos,https://www.basketball-reference.com/players/p/pangoke01.html
203095,Evan Fournier,319349,17142857,0.0186286918219057,Evan Fournier,https://www.basketball-reference.com/players/f/fournev01.html
203468,CJ McCollum,571537,30864198,0.0185177985185294,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html
1630206,Jay Scrubb,8541,462629,0.0184618776600688,Jay Scrubb,https://www.basketball-reference.com/players/s/scrubja01.html
1629652,Luguentz Dort,32884,1782621,0.0184469946219639,Luguentz Dort,https://www.basketball-reference.com/players/d/dortlu01.html
1629642,Nassir Little,42571,2316240,0.018379356197976,Nassir Little,https://www.basketball-reference.com/players/l/littlna01.html
1627759,Jaylen Brown,489709,26758928,0.018300770494244,Jaylen Brown,https://www.basketball-reference.com/players/b/brownja02.html
1630561,David Duke Jr,8451,462629,0.0182673373264538,David Duke Jr.,https://www.basketball-reference.com/players/d/dukeda01.html
1629629,Cam Reddish,84824,4670160,0.0181629751443205,Cam Reddish,https://www.basketball-reference.com/players/r/reddica01.html
1628991,Jaren Jackson Jr,163581,9180560,0.0178181940970921,Jaren Jackson Jr.,https://www.basketball-reference.com/players/j/jacksja02.html
1630200,Tre Jones,26130,1517981,0.0172136541893475,Tre Jones,https://www.basketball-reference.com/players/j/jonestr01.html
203497,Rudy Gobert,574767,34844000,0.0164954368040408,Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html
203952,Andrew Wiggins,520428,31579390,0.0164799890054874,Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html
204060,Joe Ingles,214318,13036364,0.0164400134884236,Joe Ingles,https://www.basketball-reference.com/players/i/inglejo01.html
1630554,Jason Preston,17447,1062303,0.0164237510390161,Jason Preston,https://www.basketball-reference.com/players/p/prestja01.html
203082,Terrence Ross,204055,12500000,0.0163244,Terrence Ross,https://www.basketball-reference.com/players/r/rosste01.html
1630578,Alperen Sengun,51526,3214680,0.0160283449674617,Alperen Sengun,https://www.basketball-reference.com/players/s/sengual01.html
1630235,Trent Forrest,7414,462629,0.0160258003713558,Trent Forrest,https://www.basketball-reference.com/players/f/forretr01.html
1626149,Montrezl Harrell,154921,9720900,0.0159368988468145,Montrezl Harrell,https://www.basketball-reference.com/players/h/harremo01.html
203992,Bogdan Bogdanovic,284288,18000000,0.0157937777777777,Bogdan Bogdanovic,https://www.basketball-reference.com/players/b/bogdabo01.html
1630572,Sandro Mamukelashvili,7303,462629,0.0157858672932306,Sandro Mamukelashvili,https://www.basketball-reference.com/players/m/mamuksa01.html
203476,Gorgui Dieng,61956,4000000,0.015489,Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html
202324,Derrick Favors,148837,9720900,0.0153110308716271,Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html
1629641,Romeo Langford,57879,3804360,0.0152138598870769,Romeo Langford,https://www.basketball-reference.com/players/l/langfro01.html
1630631,Jose Alvarado,6952,462629,0.0150271599921319,Jose Alvarado,https://www.basketball-reference.com/players/a/alvarjo01.html
1628035,Alfonzo McKinnie,19379,1295669,0.0149567520717096,Alfonzo McKinnie,https://www.basketball-reference.com/players/m/mckinal01.html
1627826,Ivica Zubac,112447,7518518,0.014956005957557,Ivica Zubac,https://www.basketball-reference.com/players/z/zubaciv01.html
1628995,Kevin Knox II,86827,5845978,0.0148524335876734,Kevin Knox II,https://www.basketball-reference.com/players/k/knoxke01.html
1629022,Lonnie Walker IV,65162,4453617,0.0146312536529297,Lonnie Walker IV,https://www.basketball-reference.com/players/w/walkelo01.html
202709,Cory Joseph,106505,7310000,0.0145697674418604,Cory Joseph,https://www.basketball-reference.com/players/j/josepco01.html
1630176,Vernon Carey Jr,21964,1517981,0.0144692193117041,Vernon Carey Jr.,https://www.basketball-reference.com/players/c/careyve01.html
1630215,Jared Butler,13346,925258,0.0144240849579252,Jared Butler,https://www.basketball-reference.com/players/b/butleja02.html
1626208,Keifer Sykes,7961,558345,0.0142582095299501,Keifer Sykes,https://www.basketball-reference.com/players/s/sykeske01.html
1628365,Markelle Fultz,235150,16500000,0.0142515151515151,Markelle Fultz,https://www.basketball-reference.com/players/f/fultzma01.html
1629003,Shake Milton,26077,1846738,0.0141205736818108,Shake Milton,https://www.basketball-reference.com/players/m/miltosh01.html
1630214,Xavier Tillman,21371,1517981,0.0140785688358418,Xavier Tillman,https://www.basketball-reference.com/players/t/tillmxa01.html
1629656,Quentin Grimes,30403,2168640,0.0140193854212778,Quentin Grimes,https://www.basketball-reference.com/players/g/grimequ01.html
1626192,Pat Connaughton,74709,5333334,0.014007935749008,Pat Connaughton,https://www.basketball-reference.com/players/c/connapa01.html
1629109,Gary Clark,11346,811213,0.0139864622485093,Gary Clark,https://www.basketball-reference.com/players/c/clarkga01.html
1630169,Tyrese Haliburton,55682,4023600,0.0138388507803956,Tyrese Haliburton,https://www.basketball-reference.com/players/h/halibty01.html
1630598,Aaron Wiggins,6308,462629,0.013635115827153,Aaron Wiggins,https://www.basketball-reference.com/players/w/wiggiaa01.html
1629750,Javonte Green,22720,1669178,0.0136114902065567,Javonte Green,https://www.basketball-reference.com/players/g/greenja02.html
1630194,Paul Reed,20610,1517981,0.0135772450379813,Paul Reed,https://www.basketball-reference.com/players/r/reedpa01.html
202689,Kemba Walker,467832,34967442,0.0133790741684793,Kemba Walker,https://www.basketball-reference.com/players/w/walkeke02.html
201143,Al Horford,355115,27000000,0.0131524074074074,Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html
1629611,Terance Mann,23411,1782621,0.0131329093508939,Terance Mann,https://www.basketball-reference.com/players/m/mannte01.html
1629655,Daniel Gafford,23382,1782621,0.0131166411705011,Daniel Gafford,https://www.basketball-reference.com/players/g/gaffoda01.html
202339,Eric Bledsoe,235905,18125000,0.013015448275862,Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html
1630198,Isaiah Joe,19629,1517981,0.0129309918898853,Isaiah Joe,https://www.basketball-reference.com/players/j/joeis01.html
1628977,Hamidou Diallo,67222,5200000,0.0129273076923076,Hamidou Diallo,https://www.basketball-reference.com/players/d/diallha01.html
1627789,Timothe Luwawu-Cabarrot,24870,1939350,0.0128238842911284,Timothe Luwawu-Cabarrot,https://www.basketball-reference.com/players/l/luwawti01.html
