Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Chuma Okeke,PF,23,ORL,45,10,1064,135,349,0.387,62,206,0.301,73,143,0.51,0.476,33,39,0.846,27,175,202,68,61,25,35,61,365
Josh Okogie,SG,23,MIN,33,6,408,26,75,0.347,10,36,0.278,16,39,0.41,0.413,23,37,0.622,25,35,60,18,17,10,17,39,85
Onyeka Okongwu,C,21,ATL,22,6,486,79,108,0.731,0,0,,79,108,0.731,0.731,39,53,0.736,49,77,126,23,16,32,25,72,197
Isaac Okoro,SF,21,CLE,40,34,1148,131,282,0.465,34,109,0.312,97,173,0.561,0.525,68,89,0.764,43,87,130,72,33,12,41,101,364
KZ Okpala,PF,22,MIA,21,0,244,30,69,0.435,9,26,0.346,21,43,0.488,0.5,8,11,0.727,11,30,41,14,4,7,5,25,77
Cameron Oliver,SF,25,ATL,2,0,43,10,15,0.667,1,3,0.333,9,12,0.75,0.7,2,3,0.667,2,4,6,3,1,1,0,5,23
Kelly Olynyk,C,30,DET,17,1,351,62,154,0.403,18,63,0.286,44,91,0.484,0.461,28,44,0.636,24,57,81,51,16,10,27,46,170
Eugene Omoruyi,SF,24,DAL,4,0,18,2,5,0.4,1,2,0.5,1,3,0.333,0.5,2,4,0.5,2,5,7,2,0,0,0,2,7
Miye Oni,SG,24,UTA,16,0,44,2,9,0.222,1,8,0.125,1,1,1.0,0.278,0,1,0.0,1,6,7,5,0,0,1,7,5
Cedi Osman,SF,26,CLE,43,3,998,164,391,0.419,88,246,0.358,76,145,0.524,0.532,50,79,0.633,18,83,101,84,39,8,38,83,466
Daniel Oturu,C,22,TOR,3,0,27,3,6,0.5,0,1,0.0,3,5,0.6,0.5,3,5,0.6,1,4,5,0,0,2,0,1,9
Kelly Oubre Jr.,SF,26,CHO,50,11,1423,301,682,0.441,141,402,0.351,160,280,0.571,0.545,88,128,0.688,57,149,206,58,58,21,50,126,831
Jaysean Paige,PG,27,DET,1,0,7,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,,0,1,1,1,0,0,1,2,0
Trayvon Palmer,SG,27,DET,1,0,17,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,2,2,0,0,0,1,2,0
Kevin Pangos,PG,29,CLE,24,3,166,15,46,0.326,6,26,0.231,9,20,0.45,0.391,3,4,0.75,2,9,11,30,3,0,7,11,39
Jabari Parker,PF,26,BOS,12,0,112,18,38,0.474,8,16,0.5,10,22,0.455,0.579,9,9,1.0,5,23,28,6,4,1,8,13,53
